Protein,Anchor,Gene,Chromosome,Source,Score
Q16659,1,ENSG00000069956,15,PICR,3
Q16661,1,ENSG00000044012,1,PICR,3
Q16663,1,ENSG00000161574,17,PICR,3
Q16665,0,ENSG00000100644,14,PICR,3
Q16665-2,0,ENSG00000100644,14,PICR,3
Q16665-3,0,ENSG00000100644,14,PICR,3
Q16666,0,ENSG00000163565,1,PICR,3
Q16666-2,0,ENSG00000163565,1,PICR,3
Q16666-3,0,ENSG00000163565,1,PICR,3
Q16666-6,0,ENSG00000163565,1,PICR,3
Q16666-7,0,ENSG00000163565,1,PICR,1
Q16667,0,ENSG00000100526,14,PICR,3
Q16667-2,0,ENSG00000100526,14,PICR,3
Q16670,0,null,6,UniProt,3
Q16670-2,0,null,6,UniProt,3
Q16671,0,ENSG00000135409,12,PICR,3
Q16671-2,0,ENSG00000135409,12,PICR,3
Q16671-3,0,ENSG00000135409,12,PICR,3
Q16674,0,ENSG00000261857,19,PICR,3
Q16674-2,0,ENSG00000261857,19,PICR,3
Q16676,0,null,5,UniProt,3
Q16678,1,ENSG00000138061,2,PICR,3
Q16690,1,ENSG00000138166,10,PICR,3
Q16695,1,ENSG00000168148,1,PICR,3
Q16696,1,ENSG00000197838,19,PICR,3
Q16698,0,ENSG00000104325,8,PICR,3
Q16706,1,ENSG00000112893,5,PICR,3
Q16718,0,ENSG00000128609,7,PICR,3
Q16719,0,ENSG00000115919,2,PICR,3
Q16719-2,0,ENSG00000115919,2,PICR,3
Q16720,1,ENSG00000263148,HG1497_PATCH,PICR,3
Q16720-2,0,ENSG00000263148,HG1497_PATCH,PICR,3
Q16720-3,0,ENSG00000263148,HG1497_PATCH,PICR,3
Q16720-4,1,ENSG00000067842,X,PICR,1
Q16720-5,0,ENSG00000263148,HG1497_PATCH,PICR,3
Q16720-6,0,ENSG00000263148,HG1497_PATCH,PICR,3
Q16720-7,0,ENSG00000263148,HG1497_PATCH,PICR,3
Q16720-8,0,ENSG00000263148,HG1497_PATCH,PICR,3
Q16739,1,ENSG00000148154,9,PICR,3
Q16740,0,ENSG00000125656,19,PICR,3
Q16760,0,ENSG00000077044,2,PICR,3
Q16760-2,0,ENSG00000077044,2,PICR,3
Q16762,0,ENSG00000128311,22,PICR,3
Q16763,0,ENSG00000108106,19,PICR,3
Q16769,0,ENSG00000115828,2,PICR,3
Q16769-2,0,ENSG00000115828,2,PICR,3
Q16772,1,ENSG00000174156,6,PICR,3
Q16773,0,ENSG00000171097,9,PICR,3
Q16773-2,0,ENSG00000171097,9,PICR,3
Q16773-3,0,ENSG00000171097,9,PICR,3
Q16774,0,ENSG00000143774,1,PICR,3
Q16774-2,0,ENSG00000143774,1,PICR,3
Q16775,0,ENSG00000063854,16,PICR,3
Q16775-2,0,ENSG00000063854,16,PICR,3
Q16777,1,ENSG00000184260,1,PICR,3
Q16778,1,ENSG00000264719,HG1287_PATCH,PICR,3
Q16787,0,ENSG00000053747,18,PICR,3
Q16787-1,0,ENSG00000053747,18,PICR,1
Q16787-3,0,ENSG00000053747,18,PICR,3
Q16790,1,ENSG00000107159,9,PICR,3
Q16795,0,ENSG00000139180,12,PICR,3
Q16798,0,ENSG00000151376,11,PICR,3
Q16799,0,ENSG00000139970,14,PICR,3
Q16799-2,0,ENSG00000139970,14,PICR,3
Q16799-3,0,ENSG00000139970,14,PICR,3
Q16816,0,ENSG00000164776,7,PICR,3
Q16816-2,0,ENSG00000164776,7,PICR,3
Q16819,1,ENSG00000112818,6,PICR,3
Q16820,0,ENSG00000141434,18,PICR,3
Q16821,0,ENSG00000154415,7,PICR,3
Q16821-2,0,ENSG00000154415,7,PICR,3
Q16822,0,ENSG00000100889,14,PICR,3
Q16822-2,0,ENSG00000100889,14,PICR,3
Q16825,0,ENSG00000070778,14,PICR,3
Q16827,0,ENSG00000151490,12,PICR,3
Q16827-2,0,ENSG00000151490,12,PICR,3
Q16827-3,0,ENSG00000151490,12,PICR,3
Q16827-4,0,ENSG00000151490,12,PICR,3
Q16828,0,ENSG00000139318,12,PICR,3
Q16828-2,0,ENSG00000139318,12,PICR,3
Q16829,0,ENSG00000164086,3,PICR,3
Q16829-2,0,ENSG00000164086,3,PICR,3
Q16831,0,ENSG00000183696,7,PICR,3
Q16831-2,0,ENSG00000183696,7,PICR,3
Q16832,0,ENSG00000162733,1,PICR,3
Q16836,0,ENSG00000138796,4,PICR,3
Q16836-2,0,ENSG00000138796,4,PICR,3
Q16842,1,ENSG00000157350,16,PICR,3
Q16849,0,ENSG00000054356,2,PICR,3
Q16849-2,0,ENSG00000054356,2,PICR,3
Q16849-3,0,ENSG00000054356,2,PICR,3
Q16850,0,ENSG00000001630,7,PICR,3
Q16850-2,0,ENSG00000001630,7,PICR,3
Q16851,0,ENSG00000169764,2,PICR,3
Q16851-2,0,ENSG00000169764,2,PICR,3
Q16853,0,ENSG00000131471,17,PICR,3
Q16854,0,ENSG00000114956,2,PICR,3
Q16854-2,0,ENSG00000114956,2,PICR,3
Q16854-3,0,ENSG00000114956,2,PICR,3
Q16854-4,0,ENSG00000114956,2,PICR,3
Q16854-5,0,ENSG00000114956,2,PICR,3
Q16864,1,ENSG00000128524,7,PICR,3
Q16864-2,0,ENSG00000128524,7,PICR,3
Q16873,0,ENSG00000213316,5,PICR,3
Q16874,1,ENSG00000232414,HSCHR6_MHC_DBB,PICR,3
Q16875,0,ENSG00000170525,10,PICR,3
Q16875-2,0,ENSG00000170525,10,PICR,3
Q16877,0,ENSG00000114268,3,PICR,3
Q16878,1,ENSG00000129596,5,PICR,3
Q16880,0,ENSG00000174607,4,PICR,3
Q16881,0,ENSG00000198431,12,PICR,3
Q16881-2,0,ENSG00000198431,12,PICR,3
Q16881-3,0,ENSG00000198431,12,PICR,3
Q16881-4,0,ENSG00000198431,12,PICR,3
Q16881-5,0,ENSG00000198431,12,PICR,3
Q16881-6,0,ENSG00000198431,12,PICR,3
Q16890,0,ENSG00000111907,6,PICR,3
Q16890-2,0,ENSG00000111907,6,PICR,3
Q16890-3,0,ENSG00000111907,6,PICR,3
Q16890-4,0,ENSG00000111907,6,PICR,3
Q16891,0,ENSG00000132305,2,PICR,3
Q16891-2,0,ENSG00000132305,2,PICR,3
Q16891-3,0,ENSG00000132305,2,PICR,3
Q17R26,0,null,5,UniProt,3
Q17R31,0,ENSG00000203705,1,PICR,3
Q17R31-2,0,ENSG00000203705,1,PICR,3
Q17R31-3,0,ENSG00000203705,1,PICR,3
Q17R31-4,0,ENSG00000203705,1,PICR,3
Q17R31-5,0,ENSG00000203705,1,PICR,3
Q17R55,1,ENSG00000177558,19,PICR,3
Q17R60,1,ENSG00000112706,6,PICR,3
Q17R89,0,ENSG00000006740,17,PICR,3
Q17R98,0,ENSG00000151612,4,PICR,3
Q17R98-2,0,ENSG00000151612,4,PICR,3
Q17R98-3,0,ENSG00000151612,4,PICR,3
Q17RA5,0,ENSG00000263140,HSCHR21_3_CTG1_1,PICR,3
Q17RB0,1,ENSG00000212747,X,PICR,3
Q17RB6,0,ENSG00000096070,6,PICR,3
Q17RB8,0,ENSG00000154359,8,PICR,3
Q17RB8-2,0,ENSG00000154359,8,PICR,3
Q17RC7,0,ENSG00000205436,14,PICR,3
Q17RC9,0,ENSG00000185158,17,PICR,3
Q17RD7,0,ENSG00000139973,14,PICR,3
Q17RD7-2,0,ENSG00000139973,14,PICR,3
Q17RD7-3,0,ENSG00000139973,14,PICR,3
Q17RF5,0,ENSG00000174792,4,PICR,3
Q17RF5-2,0,ENSG00000174792,4,PICR,3
Q17RG1,0,ENSG00000168676,16,PICR,3
Q17RH7,0,null,3,UniProt,3
Q17RM4,0,ENSG00000135637,2,PICR,3
Q17RM4-2,0,ENSG00000135637,2,PICR,3
Q17RM4-3,0,ENSG00000135637,2,PICR,3
Q17RM7,0,ENSG00000158636,11,PICR,3
Q17RM9,0,ENSG00000074621,15,PICR,3
Q17RN3,0,ENSG00000130244,19,PICR,3
Q17RN3-2,0,ENSG00000130244,19,PICR,3
Q17RP2,1,ENSG00000164296,5,PICR,3
Q17RQ9,0,ENSG00000179846,19,PICR,3
Q17RR3,1,ENSG00000203837,10,PICR,3
Q17RR6,0,ENSG00000196437,19,PICR,3
Q17RR7,0,ENSG00000196091,12,PICR,3
Q17RS7,0,ENSG00000178295,2,PICR,3
Q17RU2,0,ENSG00000162924,2,PICR,3
Q17RW2,0,ENSG00000171502,1,PICR,3
Q17RW2-2,0,ENSG00000171502,1,PICR,3
Q17RW3,0,ENSG00000177873,3,PICR,3
Q17RY0,0,ENSG00000113742,5,PICR,3
Q17RY0-2,0,ENSG00000113742,5,PICR,3
Q17RY0-3,0,ENSG00000113742,5,PICR,3
Q17RY6,0,ENSG00000262378,HG418_PATCH,PICR,3
Q17RY6-2,0,ENSG00000262378,HG418_PATCH,PICR,3
Q18PE1,0,ENSG00000175920,4,PICR,3
Q18PE1-2,0,ENSG00000175920,4,PICR,1
Q18PE1-3,0,ENSG00000175920,4,PICR,3
Q19AV6,0,ENSG00000214941,17,PICR,3
Q19QY8,0,ENSG00000006283,17,PICR,3
Q19QZ1,0,ENSG00000006283,17,PICR,3
Q19QZ3,0,ENSG00000006283,17,PICR,3
Q19QZ4,0,ENSG00000006283,17,PICR,3
Q19QZ5,0,ENSG00000006283,17,PICR,3
Q19QZ6,0,ENSG00000006283,17,PICR,3
Q19QZ7,0,ENSG00000006283,17,PICR,3
Q19R00,0,ENSG00000006283,17,PICR,3
Q19R01,0,ENSG00000006283,17,PICR,3
Q19R04,0,ENSG00000006283,17,PICR,3
Q19R05,0,ENSG00000006283,17,PICR,3
Q19R06,0,ENSG00000006283,17,PICR,3
Q19R07,0,ENSG00000006283,17,PICR,3
Q19R09,0,ENSG00000006283,17,PICR,3
Q19R10,0,ENSG00000006283,17,PICR,3
Q19R15,0,ENSG00000006283,17,PICR,3
Q19R16,0,ENSG00000006283,17,PICR,3
Q19R18,0,ENSG00000006283,17,PICR,3
Q19T08,0,ENSG00000249751,5,PICR,2
Q1A5X6,1,ENSG00000214216,3,PICR,3
Q1A5X6-2,0,ENSG00000214216,3,PICR,3
Q1A5X6-3,0,ENSG00000214216,3,PICR,3
Q1A5X7,0,null,15,UniProt,3
Q1A5X7-2,0,null,15,UniProt,3
Q1A7B4,0,ENSG00000128604,7,PICR,3
Q1AE95,0,null,3,UniProt,3
Q1AN28,1,ENSG00000213922,19,PICR,3
Q1ED39,0,ENSG00000103550,16,PICR,3
Q1EHB4,0,ENSG00000148942,11,PICR,3
Q1EHB4-2,0,ENSG00000148942,11,PICR,3
Q1ET66,0,ENSG00000213648,16,PICR,3
Q1HG43,0,ENSG00000140254,15,PICR,3
Q1HG43-2,0,ENSG00000140254,15,PICR,3
Q1HG43-3,0,ENSG00000140254,15,PICR,3
Q1HG44,0,ENSG00000140274,15,PICR,3
Q1JUQ5,0,ENSG00000088832,20,PICR,3
Q1KLZ6,0,ENSG00000126561,17,PICR,3
Q1KMD3,1,ENSG00000214753,11,PICR,3
Q1L5Z9,1,ENSG00000170500,2,PICR,3
Q1L5Z9-2,0,ENSG00000170500,2,PICR,3
Q1L6K4,0,ENSG00000156709,X,PICR,3
Q1L6U9,1,ENSG00000215183,9,PICR,3
Q1M185,0,ENSG00000149948,12,PICR,3
Q1M186,0,ENSG00000149948,12,PICR,3
Q1M187,0,ENSG00000149948,12,PICR,3
Q1M188,0,ENSG00000149948,12,PICR,3
Q1M2P6,1,ENSG00000269490,6,PICR,3
Q1MSJ5,0,ENSG00000104218,8,PICR,3
Q1MSJ5-1,0,ENSG00000104218,8,PICR,3
Q1MSJ5-2,0,ENSG00000104218,8,PICR,3
Q1MX18,0,ENSG00000188487,11,PICR,3
Q1MX18-2,0,ENSG00000188487,11,PICR,3
Q1MX18-3,0,ENSG00000188487,11,PICR,3
Q1MX18-4,0,ENSG00000188487,11,PICR,3
Q1MX18-5,0,ENSG00000188487,11,PICR,3
Q1PHJ2,0,ENSG00000107249,9,PICR,3
Q1PHJ8,0,ENSG00000107249,9,PICR,3
Q1PSW9,0,ENSG00000074047,2,PICR,3
Q1RLM7,0,ENSG00000089094,12,PICR,3
Q1RMF9,0,ENSG00000188120,Y,PICR,3
Q1RMZ1,0,ENSG00000164603,7,PICR,3
Q1RN00,0,null,3,UniProt,3
Q1T7F1,0,null,19,UniProt,3
Q1T7F5,1,ENSG00000198633,19,PICR,3
Q1T7F6,0,ENSG00000198633,19,PICR,3
Q1W209,0,null,3,UniProt,3
Q1W4C9,1,ENSG00000214510,5,PICR,3
Q1W4C9-2,0,ENSG00000214510,5,PICR,3
Q1W6H9,1,ENSG00000184731,2,PICR,3
Q1X8D7,0,ENSG00000159708,16,PICR,3
Q1X8D7-2,0,ENSG00000159708,16,PICR,3
Q1XH10,0,null,10,UniProt,3
Q1ZYL8,0,ENSG00000099840,19,PICR,3
Q1ZYL8-2,0,ENSG00000099840,19,PICR,3
Q1ZYL8-3,0,ENSG00000099840,19,PICR,3
Q1ZYL8-4,0,ENSG00000099840,19,PICR,3
Q1ZZU3,0,ENSG00000175854,9,PICR,3
Q24JP5,0,ENSG00000006118,11,PICR,3
Q24JP5-2,0,ENSG00000006118,11,PICR,3
Q24JP5-3,0,ENSG00000006118,11,PICR,3
Q24JP5-4,0,ENSG00000006118,11,PICR,3
Q24JQ0,0,ENSG00000134490,18,PICR,3
Q24JQ0-2,0,ENSG00000134490,18,PICR,3
Q24JQ0-3,0,ENSG00000134490,18,PICR,3
Q24JQ1,0,ENSG00000064490,19,PICR,3
Q24JQ7,0,ENSG00000204842,12,PICR,3
Q27J81,0,ENSG00000203485,14,PICR,3
Q27J81-2,0,ENSG00000203485,14,PICR,3
Q27J81-3,0,ENSG00000203485,14,PICR,3
Q29718,0,ENSG00000206450,HSCHR6_MHC_QBL,PICR,2
Q29836,0,ENSG00000234745,6,PICR,2
Q29865,0,ENSG00000228299,HSCHR6_MHC_DBB,PICR,2
Q29897,1,ENSG00000230413,HSCHR6_MHC_COX,PICR,3
Q29940,0,ENSG00000206450,HSCHR6_MHC_QBL,PICR,2
Q29960,0,ENSG00000237022,HSCHR6_MHC_MANN,PICR,2
Q29960-2,0,ENSG00000237022,HSCHR6_MHC_MANN,PICR,2
Q29963,0,ENSG00000228299,HSCHR6_MHC_DBB,PICR,3
Q29974,0,ENSG00000196126,6,PICR,2
Q29980,1,ENSG00000206449,HSCHR6_MHC_QBL,PICR,3
Q29980-3,0,ENSG00000206449,HSCHR6_MHC_QBL,PICR,3
Q29983,1,ENSG00000183214,HSCHR6_MHC_QBL,PICR,3
Q29RF7,0,ENSG00000121892,4,PICR,3
Q29RF7-3,0,ENSG00000121892,4,PICR,3
Q2HIZ1,0,ENSG00000169231,1,PICR,3
Q2HIZ8,0,ENSG00000196187,1,PICR,3
Q2HNT4,0,ENSG00000204482,6,PICR,3
Q2HXU8,0,ENSG00000256660,12,PICR,3
Q2HXU8-2,0,ENSG00000256660,12,PICR,3
Q2HXV1,0,ENSG00000101040,20,PICR,3
Q2HXV3,0,ENSG00000101040,20,PICR,3
Q2I0M4,1,ENSG00000184709,9,PICR,3
Q2I0M4-2,0,ENSG00000184709,9,PICR,3
Q2I0M5,1,ENSG00000101282,20,PICR,3
Q2I0M5-2,0,ENSG00000101282,20,PICR,3
Q2KHM8,1,ENSG00000138653,4,PICR,3
Q2KHM9,0,ENSG00000198920,17,PICR,3
Q2KHM9-2,0,ENSG00000198920,17,PICR,3
Q2KHN1,0,ENSG00000179580,16,PICR,3
Q2KHR2,0,ENSG00000181827,15,PICR,2
Q2KHR2-2,0,ENSG00000181827,15,PICR,2
Q2KHR3,0,ENSG00000060749,11,PICR,3
Q2KHR3-2,0,ENSG00000060749,11,PICR,3
Q2KHT3,0,ENSG00000038532,16,PICR,3
Q2KHT3-2,0,ENSG00000038532,16,PICR,3
Q2KHT3-3,0,ENSG00000038532,16,PICR,3
Q2KHT4,0,ENSG00000111305,12,PICR,3
Q2KHT4-2,0,ENSG00000111305,12,PICR,3
Q2KHT4-3,0,ENSG00000111305,12,PICR,3
Q2KHT4-4,0,ENSG00000111305,12,PICR,3
Q2KHT4-5,0,ENSG00000111305,12,PICR,3
Q2KHT4-6,0,ENSG00000111305,12,PICR,3
Q2KHT4-7,0,ENSG00000111305,12,PICR,1
Q2KHT4-8,0,ENSG00000111305,12,PICR,3
Q2KJ03,0,null,6,UniProt,3
Q2KJ03-2,0,null,6,UniProt,3
Q2KJY2,0,ENSG00000162849,1,PICR,3
Q2KJY2-2,0,ENSG00000162849,1,PICR,3
Q2L4Q9,1,ENSG00000151006,16,PICR,3
Q2L7G6,0,ENSG00000125944,1,PICR,3
Q2LD37,0,ENSG00000138688,4,PICR,3
Q2LD37-2,0,ENSG00000138688,4,PICR,3
Q2LD37-4,0,ENSG00000138688,4,PICR,3
Q2LD37-5,0,ENSG00000138688,4,PICR,3
Q2LD37-6,0,ENSG00000138688,4,PICR,3
Q2LD37-7,0,ENSG00000138688,4,PICR,3
Q2LEK4,0,ENSG00000110492,11,PICR,3
Q2M1H5,0,ENSG00000155816,1,PICR,3
Q2M1K9,0,ENSG00000102935,16,PICR,3
Q2M1P5,0,ENSG00000166813,15,PICR,3
Q2M1V0,1,ENSG00000175329,22,PICR,3
Q2M1Z3,0,ENSG00000031081,3,PICR,3
Q2M218,0,ENSG00000269649,HG1436_HG1432_PATCH,PICR,3
Q2M238,0,ENSG00000228695,16,Manual,3
Q2M243,0,ENSG00000162592,1,PICR,3
Q2M296,0,ENSG00000103248,16,PICR,3
Q2M296-2,0,ENSG00000103248,16,PICR,3
Q2M296-3,0,ENSG00000103248,16,PICR,3
Q2M296-4,0,ENSG00000103248,16,PICR,3
Q2M2D7,0,ENSG00000189375,17,PICR,3
Q2M2E3,0,ENSG00000184650,17,PICR,3
Q2M2E5,1,ENSG00000178722,5,PICR,3
Q2M2H8,0,ENSG00000261791,HG7_PATCH,PICR,3
Q2M2I3,0,ENSG00000105523,19,PICR,3
Q2M2I5,1,ENSG00000167916,17,PICR,3
Q2M2I8,0,ENSG00000115977,2,PICR,3
Q2M2I8-2,0,ENSG00000115977,2,PICR,3
Q2M2W7,1,ENSG00000263085,HG747_PATCH,PICR,3
Q2M2W7-2,0,ENSG00000263085,HG747_PATCH,PICR,3
Q2M2Z5,0,null,20,UniProt,3
Q2M2Z5-2,0,null,20,UniProt,3
Q2M2Z5-3,0,null,20,UniProt,3
Q2M2Z5-4,0,null,20,UniProt,3
Q2M2Z5-5,0,null,20,UniProt,3
Q2M329,1,ENSG00000173013,4,PICR,3
Q2M385,1,ENSG00000197629,11,PICR,3
Q2M389,0,ENSG00000136051,12,PICR,3
Q2M389-2,0,ENSG00000136051,12,PICR,3
Q2M3A8,0,null,11,UniProt,3
Q2M3C6,0,ENSG00000169758,15,PICR,3
Q2M3C6-2,0,ENSG00000169758,15,PICR,3
Q2M3C7,1,ENSG00000153820,2,PICR,3
Q2M3C7-2,0,ENSG00000153820,2,PICR,3
Q2M3D2,1,ENSG00000130201,19,PICR,3
Q2M3G0,0,ENSG00000004846,7,PICR,3
Q2M3G0-2,0,ENSG00000004846,7,PICR,3
Q2M3G0-3,0,ENSG00000004846,7,PICR,3
Q2M3G4,0,ENSG00000164403,5,PICR,3
Q2M3G4-2,0,ENSG00000164403,5,PICR,3
Q2M3K9,1,ENSG00000204540,6,PICR,3
Q2M3M2,0,ENSG00000117834,1,PICR,3
Q2M3M2-2,0,ENSG00000117834,1,PICR,3
Q2M3R5,1,ENSG00000176273,10,PICR,3
Q2M3R5-2,0,ENSG00000176273,10,PICR,3
Q2M3T9,0,ENSG00000106302,7,PICR,3
Q2M3V2,1,ENSG00000198944,5,PICR,3
Q2M3W8,0,ENSG00000197841,19,PICR,3
Q2M3W8-2,0,ENSG00000197841,19,PICR,3
Q2M3W8-3,0,ENSG00000197841,19,PICR,3
Q2M3X9,0,ENSG00000251192,X,PICR,3
Q2M3X9-2,0,ENSG00000251192,X,PICR,3
Q2M5E4,1,ENSG00000253148,1,PICR,3
Q2MD36,0,ENSG00000129071,3,PICR,3
Q2MDE8,0,ENSG00000164627,6,PICR,3
Q2MDF5,0,ENSG00000112685,6,PICR,3
Q2MJR0,0,ENSG00000188766,19,PICR,3
Q2MJR0-2,0,ENSG00000188766,19,PICR,3
Q2MKA7,1,ENSG00000169218,1,PICR,3
Q2MKA7-2,0,ENSG00000169218,1,PICR,3
Q2MKA7-3,0,ENSG00000169218,1,PICR,3
Q2MV58,0,ENSG00000204852,12,PICR,3
Q2MV58-2,0,ENSG00000204852,12,PICR,3
Q2MV58-3,0,ENSG00000204852,12,PICR,3
Q2MV58-4,0,ENSG00000204852,12,PICR,3
Q2MV58-5,0,ENSG00000204852,12,PICR,3
Q2MV58-6,0,ENSG00000204852,12,PICR,3
Q2N1I1,0,ENSG00000175538,11,PICR,3
Q2NKJ3,0,ENSG00000178971,17,PICR,3
Q2NKJ3-2,0,ENSG00000178971,17,PICR,3
Q2NKQ1,1,ENSG00000167037,22,PICR,3
Q2NKQ1-3,0,ENSG00000167037,22,PICR,3
Q2NKQ1-4,0,ENSG00000167037,22,PICR,3
Q2NKX8,0,ENSG00000186871,X,PICR,3
Q2NKX9,0,ENSG00000168887,2,PICR,3
Q2NKX9-3,0,ENSG00000168887,2,PICR,3
Q2NL67,0,ENSG00000137817,15,PICR,3
Q2NL67-2,0,ENSG00000137817,15,PICR,3
Q2NL67-3,0,ENSG00000137817,15,PICR,3
Q2NL68,0,ENSG00000167595,19,PICR,3
Q2NL68-2,0,ENSG00000167595,19,PICR,3
Q2NL68-3,0,ENSG00000167595,19,PICR,3
Q2NL68-4,0,ENSG00000167595,19,PICR,3
Q2NL82,0,ENSG00000167721,17,PICR,3
Q2NL98,1,ENSG00000187650,19,PICR,3
Q2NME9,0,ENSG00000205111,2,PICR,3
Q2PNZ6,0,ENSG00000198822,7,PICR,3
Q2PPJ7,0,ENSG00000188559,20,PICR,3
Q2PPJ7-2,0,ENSG00000188559,20,PICR,3
Q2PPJ7-3,0,ENSG00000188559,20,PICR,3
Q2PPL5,0,ENSG00000100416,22,PICR,3
Q2PYN1,0,ENSG00000239306,11,PICR,3
Q2PZI1,0,ENSG00000173852,7,PICR,3
Q2PZI1-2,0,ENSG00000173852,7,PICR,1
Q2Q1W2,1,ENSG00000206557,3,PICR,3
Q2QGD7,0,ENSG00000070476,3,PICR,3
Q2QGD7-2,0,ENSG00000070476,3,PICR,3
Q2QL34,0,ENSG00000156968,16,PICR,3
Q2QL34-2,0,ENSG00000156968,16,PICR,3
Q2T9F4,0,null,7,UniProt,3
Q2T9G2,0,ENSG00000138075,2,PICR,3
Q2T9J0,1,ENSG00000156521,10,PICR,3
Q2T9J0-2,0,ENSG00000156521,10,PICR,3
Q2T9J9,0,ENSG00000068724,2,PICR,3
Q2T9K0,0,ENSG00000145014,3,PICR,3
Q2T9K0-2,0,ENSG00000145014,3,PICR,3
Q2T9K0-4,0,ENSG00000145014,3,PICR,3
Q2T9K0-6,0,ENSG00000145014,3,PICR,3
Q2T9K0-7,0,ENSG00000145014,3,PICR,3
Q2T9L4,0,ENSG00000205363,15,PICR,3
Q2TA70,1,ENSG00000261832,16,PICR,3
Q2TA77,0,ENSG00000078043,18,PICR,3
Q2TAA2,0,ENSG00000134330,2,PICR,3
Q2TAA5,1,ENSG00000253710,13,PICR,3
Q2TAA8,0,ENSG00000102904,16,PICR,3
Q2TAA8-2,0,ENSG00000102904,16,PICR,3
Q2TAC2,0,ENSG00000176155,17,PICR,3
Q2TAC2-2,0,ENSG00000176155,17,PICR,3
Q2TAC6,0,ENSG00000196169,17,PICR,3
Q2TAC6-2,0,ENSG00000196169,17,PICR,1
Q2TAC6-3,0,ENSG00000196169,17,PICR,3
Q2TAK2,0,ENSG00000109118,17,PICR,3
Q2TAK8,0,ENSG00000160953,19,PICR,3
Q2TAK8-2,0,ENSG00000160953,19,PICR,3
Q2TAL5,0,ENSG00000188176,17,PICR,3
Q2TAL5-2,0,ENSG00000188176,17,PICR,3
Q2TAL6,1,ENSG00000188730,7,PICR,3
Q2TAL8,0,ENSG00000198218,3,PICR,3
Q2TAM5,0,ENSG00000173039,11,PICR,3
Q2TAM9,1,ENSG00000198680,9,PICR,3
Q2TAP0,1,ENSG00000155265,10,PICR,3
Q2TAY7,0,ENSG00000122692,9,PICR,3
Q2TAY9,0,ENSG00000119685,14,PICR,3
Q2TAZ0,0,ENSG00000110046,11,PICR,3
Q2TAZ0-3,0,ENSG00000110046,11,PICR,3
Q2TAZ0-4,0,ENSG00000110046,11,PICR,3
Q2TAZ0-5,0,ENSG00000110046,11,PICR,3
Q2TB10,0,ENSG00000048405,7,PICR,3
Q2TB12,0,ENSG00000105486,19,PICR,3
Q2TB18,0,ENSG00000034533,3,PICR,3
Q2TB39,0,ENSG00000071564,19,PICR,3
Q2TB82,0,ENSG00000180776,13,PICR,3
Q2TB90,1,ENSG00000156510,10,PICR,3
Q2TB90-2,0,ENSG00000156510,10,PICR,3
Q2TB90-3,0,ENSG00000156510,10,PICR,3
Q2TBA0,1,ENSG00000157119,3,PICR,3
Q2TBA0-2,0,ENSG00000157119,3,PICR,3
Q2TBC4,0,ENSG00000124593,6,PICR,3
Q2TBC4-2,0,ENSG00000124593,6,PICR,3
Q2TBC4-3,0,ENSG00000124593,6,PICR,3
Q2TBE0,0,ENSG00000152404,11,PICR,3
Q2TBE0-2,0,ENSG00000152404,11,PICR,3
Q2TBE0-3,0,ENSG00000152404,11,PICR,3
Q2TBF2,0,ENSG00000075035,12,PICR,3
Q2TBF2-2,0,ENSG00000075035,12,PICR,3
Q2THG6,1,ENSG00000162891,1,PICR,3
Q2TQ40,0,ENSG00000048462,16,PICR,3
Q2TV78,0,ENSG00000186715,1,PICR,3
Q2TV78-2,0,ENSG00000186715,1,PICR,3
Q2TVT3,0,null,9,UniProt,3
Q2TVT4,0,null,9,UniProt,3
Q2UY09,0,ENSG00000215018,7,PICR,3
Q2UY09-2,0,ENSG00000215018,7,PICR,3
Q2UY09-3,0,ENSG00000215018,7,PICR,3
Q2V2M9,0,ENSG00000134775,18,PICR,3
Q2V2M9-2,0,ENSG00000134775,18,PICR,3
Q2V2M9-3,0,ENSG00000134775,18,PICR,3
Q2V2M9-4,0,ENSG00000134775,18,PICR,3
Q2V6Q1,0,ENSG00000184060,17,PICR,3
Q2VIQ3,1,ENSG00000226650,5,PICR,3
Q2VIR3,0,ENSG00000180574,12,PICR,3
Q2VIR3-2,0,ENSG00000180574,12,PICR,3
Q2VPA4,1,ENSG00000197721,1,PICR,3
Q2VPA4-2,0,ENSG00000197721,1,PICR,3
Q2VPA4-3,0,ENSG00000197721,1,PICR,3
Q2VPB7,1,ENSG00000254470,11,PICR,3
Q2VPJ9,0,ENSG00000178026,22,PICR,3
Q2VPJ9-2,0,ENSG00000178026,22,PICR,3
Q2VPK5,0,ENSG00000174177,16,PICR,3
Q2VPK5-3,0,ENSG00000174177,16,PICR,3
Q2VPK5-5,0,ENSG00000174177,16,PICR,3
Q2VPS2,0,ENSG00000099365,16,PICR,3
Q2VWA4,1,ENSG00000215474,18,PICR,3
Q2VWA4-2,0,ENSG00000215474,18,PICR,3
Q2VWP7,0,ENSG00000166450,15,PICR,3
Q2VY69,1,ENSG00000186026,19,PICR,3
Q2VYF1,0,ENSG00000163281,4,PICR,3
Q2VYF4,0,ENSG00000165046,8,PICR,3
Q2VYF4-2,0,ENSG00000165046,8,PICR,3
Q2VYF4-3,0,ENSG00000165046,8,PICR,3
Q2VYF4-4,0,ENSG00000165046,8,PICR,3
Q2WEN9,1,ENSG00000213892,19,PICR,3
Q2WGJ6,1,ENSG00000175946,8,PICR,3
Q2WGJ8,0,ENSG00000261587,HG243_PATCH,PICR,3
